sku,national_inv,lead_time,in_transit_qty,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,went_on_backorder
1111623,0,8,0,2,78,0,0.68,0.58,0,Yes
1111650,110,8,0,3,78,0,1,0.95,0,No
1111651,143,8,1,27,78,0,0.81,0.86,0,No
1111652,24,8,0,7,78,0,1,0.95,1,Yes
1111653,36,8,0,2,78,0,-99,-99,0,No
1111654,163,8,0,0,78,0,0.99,0.98,0,No
1111655,-55,8,2,52,78,0,-99,-99,56,Yes
1111656,74,8,0,0,78,0,0.81,0.83,0,No
1111657,225,8,0,1,78,0,0.95,0.97,0,No
1111659,30,8,14,24,78,0,0.98,0.92,0,Yes
1111670,-499,12,350,401,78,0,0.49,0.72,525,Yes
1111929,1,8,2,0,78,0,0.97,0.94,0,Yes
1111930,10,8,0,0,78,0,1,0.92,0,No
1111931,94,8,0,2,78,0,0.48,0.53,0,No
1111932,5,9,0,0,78,0,0.99,0.85,0,No
1112970,1,10,0,5,78,0,0.83,0.75,0,No
1112971,13,2,0,4,78,0,0.99,0.99,0,Yes
1112972,1,8,0,1,78,0,0.95,0.97,0,No
1112985,720,2,854,157,78,0,0.8,0.92,0,No
1112986,5,2,0,3,78,0,0.06,0.5,0,Yes
1112987,4,8,0,0,78,0,0.93,0.97,0,No
1112993,3,8,0,0,78,0,1,0.92,0,No
1112994,0,2,0,0,78,0,0.1,0.05,0,Yes
1112995,7,12,0,2,78,0,0.93,0.94,0,No
1113056,0,8,4,0,78,0,0.6,0.43,0,No
1113057,-4,8,0,5,78,1,0.77,0.74,4,Yes
1113058,0,0,0,1,78,0,0,0,0,No
1113110,87,8,3,18,78,0,1,0.99,0,No
1113111,8,8,0,4,78,0,0.96,0.94,0,Yes
1113112,13,9,0,0,78,0,0.85,0.83,0,No
1113120,134,9,0,0,78,0,0.69,0.68,0,No
1113121,0,8,1,0,78,1,0.9,0.89,0,Yes
1113122,0,10,2,0,78,0,0.89,0.9,0,Yes
1113123,500,12,0,0,78,0,0.96,0.86,0,No
1113198,24,4,0,0,78,0,0.85,0.93,0,No
1113199,0,12,1,0,78,0,0.82,0.79,0,Yes
1113221,24,2,0,0,78,0,0.2,0.07,0,No
1113222,57,8,0,101,78,0,0,0,3,Yes
1113223,18,2,0,0,78,0,0.47,0.39,0,No
1113268,0,8,0,0,78,0,0.96,0.97,0,Yes
1113269,82,9,0,24,78,0,0.93,0.97,0,No
1113270,53,8,0,1,78,0,0.81,0.83,0,No
1113271,7,4,0,0,78,0,0.77,0.8,0,No
1113365,86,3,16,19,78,0,0.99,0.99,0,No
1113366,2,8,0,1,78,0,0.99,0.99,0,Yes
1113367,113,2,0,2,78,0,0.97,0.98,0,No
1113368,102,12,0,0,78,0,0.62,0.73,0,No
1113480,5,8,0,4,78,0,0.5,0.63,0,Yes
1113650,23,8,0,0,78,0,0.6,0.6,0,No
1113651,0,8,0,0,78,0,0.77,0.78,0,Yes
1113873,3,8,0,1,78,0,0.15,0.34,0,No
1113874,20,2,0,10,78,0,0.81,0.88,0,Yes
1113899,8,8,0,0,78,0,0.15,0.34,0,No
1113900,0,12,0,0,78,0,0.82,0.79,0,Yes
1113901,48,8,0,4,78,0,0.99,0.97,0,No
1113902,0,9,0,0,78,0,0.86,0.69,0,No
1113903,8,8,0,0,78,0,0.8,0.92,0,No
1113995,16,8,0,6,78,0,1,0.99,0,No
1113996,0,9,0,4,78,0,0.69,0.68,0,Yes
1113997,21,8,24,4,78,0,0.96,0.97,0,No
1114030,3,8,0,0,78,0,1,0.93,0,No
1114031,1,2,0,0,78,0,1,0.99,0,Yes
1114032,2,12,0,0,78,0,0.62,0.73,0,No
1114042,42,2,0,0,78,0,-99,0.28,0,No
1114043,3,2,0,1,78,0,0.99,0.99,0,Yes
1114044,256,2,0,16,78,0,0.88,0.74,0,No
1114045,68,2,0,0,78,0,0.98,0.88,0,No
1114107,24,2,0,0,78,0,0.98,0.94,0,No
1114108,12,2,0,0,78,0,0.39,0.17,0,No
1114109,0,8,0,0,78,0,0.77,0.78,0,Yes
1114110,45,8,183,227,78,0,0.93,0.67,3,Yes
1114111,0,8,0,0,78,0,0.1,0.13,0,No
1114112,4,2,0,0,78,0,0.46,0.35,0,No
1114197,0,2,0,0,78,16,0.85,0.88,0,Yes
1114198,3,8,0,0,78,0,0.92,0.95,0,No
1114221,5,2,0,0,78,0,0,0,0,No
1114222,0,8,0,0,78,0,0.96,0.98,0,Yes
1114223,978,8,0,89,78,0,0.27,0.2,0,No
1114410,20,8,0,1,78,0,0.46,0.35,0,No
1114411,0,8,0,1,78,0,0.75,0.89,0,Yes
1114412,122,2,66,27,78,0,0.91,0.75,0,No
1114822,1,4,0,0,78,0,0.77,0.8,0,No
1114823,0,12,0,2,78,3,0.98,0.98,0,Yes
1114945,10,8,0,2,78,0,-99,-99,0,No
1114946,1,9,0,0,78,0,0.85,0.83,0,Yes
1115060,0,2,0,0,78,0,0,0,0,Yes
1115061,0,2,0,0,78,0,0.1,0.13,0,No
1115134,19,12,19,1,78,0,0.63,0.63,0,No
1115135,7,2,0,0,78,0,0.99,0.98,0,Yes
1115136,8,2,0,2,78,0,0.98,0.99,0,No
1115137,21,4,0,0,78,0,0.77,0.8,0,No
1115452,2485,2,0,0,78,0,0.64,0.8,0,No
1115453,55,8,0,51,78,0,0,0,0,Yes
1115454,4985,2,0,1,78,0,0.64,0.8,0,No
1115563,578,8,0,258,78,0,0.97,0.91,0,No
1115564,3,14,0,1,78,0,0.99,0.82,0,Yes
1115565,158,8,0,2,78,0,0.91,0.93,0,No
1115619,1,8,0,0,78,0,0.99,0.99,0,No
1115620,-34,8,0,33,78,0,1,0.97,34,Yes
1115621,103,8,0,68,78,0,1,0.99,0,No
1115710,8,52,0,0,78,0,0.94,0.91,0,No
1115711,5,4,0,0,78,0,0.95,0.94,0,Yes
1115712,15,8,0,0,78,0,0.79,0.91,0,No
1115718,6,9,5,0,78,0,0.69,0.68,0,No
1115719,3,2,0,0,78,0,0.95,0.97,0,Yes
1115720,67,8,0,4,78,0,1,0.99,0,No
1115941,3,0,0,1,78,0,0,0,0,Yes
1116445,189,52,0,16,78,0,1,0.97,0,No
1116446,4,9,0,4,78,0,0.69,0.68,0,Yes
1116447,121,8,28,39,78,0,0.98,0.95,0,No
1116533,200,8,1,16,78,0,0.97,0.95,0,No
1116534,0,8,0,0,78,0,0.96,0.94,0,Yes
1116535,56,6,1,11,78,0,0.79,0.66,0,No
1116571,7,8,0,0,78,0,1,0.99,0,No
1116572,33,8,24,27,78,0,0.79,0.66,0,Yes
1116573,63,9,0,0,78,0,0.99,0.99,0,No
1116609,3,8,0,0,78,0,0.99,0.98,0,No
1116610,-1,0,0,1,78,0,0,0,1,Yes
1116611,4,8,0,0,78,0,0.89,0.88,0,No
1116670,6,8,0,1,78,0,0.97,0.98,0,No
1116671,0,10,0,0,78,0,0.89,0.9,0,Yes
1116672,43,8,4,22,78,0,0.95,0.97,0,No
1116702,34,8,0,0,78,0,0.99,0.99,0,No
1116703,0,2,0,0,78,0,0.96,0.94,0,Yes
1116704,5,2,0,0,78,0,0.31,0.11,0,No
1116733,15,0,0,1,78,0,0,0,0,No
1116734,3,3,0,40,78,0,0.42,0.46,0,Yes
1116735,28,8,0,0,78,0,0.85,0.87,0,No
1116756,7,8,0,0,78,0,1,1,0,No
1116757,5,8,0,0,78,0,0.96,0.93,0,Yes
1116758,2,9,0,0,78,0,0.99,0.99,0,No
1116833,978,8,0,2,78,0,0.81,0.8,0,No
1116834,2,8,0,2,78,0,1,0.95,0,Yes
1116835,0,2,0,0,78,0,0.75,0.74,0,No
1116859,124,8,0,2,78,0,-99,-99,0,No
1116860,6,2,0,5,78,0,0.99,0.98,0,Yes
1116861,553,2,163,256,78,0,0.47,0.47,7,No
1116867,3,8,0,0,78,0,0.84,0.9,0,No
1116868,-7,8,0,0,78,0,0.97,0.92,7,Yes
1116869,51,8,10,17,78,0,0.99,0.86,0,No
1116969,206,8,0,25,78,0,0.8,0.85,0,No
1116970,1,2,0,0,78,0,0.77,0.82,0,Yes
1116971,77,4,0,2,78,0,-99,-99,0,No
1117010,1293,8,0,0,78,0,1,0.99,0,No
1117011,1,8,0,0,78,0,0.79,0.66,0,Yes
1117012,79,8,0,1,78,0,0.99,0.98,0,No
1117277,118,8,0,0,78,0,0.57,0.8,0,No
1117278,4,2,0,1,78,0,0.69,0.68,0,Yes
1117279,65,2,0,0,78,0,1,1,0,No
1117280,24,4,1,0,78,0,0.77,0.8,0,No
1117281,4,2,0,0,78,0,0.96,0.97,0,No
1117282,12,8,0,0,78,0,0.83,0.71,0,No
1117283,2,2,0,0,78,0,0.99,0.81,0,Yes
1117308,150,2,0,5,78,0,0.19,0.16,0,No
1117309,112,2,0,0,78,0,0.86,0.79,0,Yes
1117310,229,2,417,344,78,0,0.64,0.77,1,No
1117343,3,8,0,10,78,0,0.15,0.34,0,Yes
1117344,7331,3,2307,2878,78,0,0.69,0.68,0,No
1117564,2,8,1,0,78,0,0.6,0.43,0,No
1117565,2,8,0,0,78,0,0.84,0.48,0,Yes
1117566,1330,2,3,173,78,0,1,1,4,No
1117586,41,8,20,25,78,0,0.97,0.98,0,No
1117587,12,8,1,47,78,0,0.87,0.89,0,Yes
1117588,6,2,0,1,78,0,0.98,0.98,0,No
1117638,4,4,0,0,78,0,0.79,0.66,0,No
1117639,12,8,0,0,78,0,0.99,0.99,0,Yes
1117640,38,8,0,2,78,0,0.68,0.88,0,No
1117649,0,2,0,0,78,0,0.6,0.6,0,Yes
1117650,204,8,171,3,78,0,0.46,0.35,0,No
1117651,2,8,0,0,78,0,0.2,0.16,0,Yes
1117652,41,8,0,0,78,0,0.93,0.95,0,No
1117700,62,2,90,3,78,0,0.9,0.92,0,No
1117701,7,2,0,0,78,0,0.99,0.99,0,Yes
1117755,28,4,0,0,78,0,0.62,0.73,0,No
1117776,0,2,0,0,78,0,0.69,0.68,0,Yes
1117858,32,8,0,19,78,0,0.89,0.91,0,No
1117859,42,9,0,14,78,0,1,0.95,0,Yes
1117910,57,2,0,0,78,0,1,1,0,No
1117924,2,3,0,2,78,0,0.79,0.8,0,Yes
1117925,19,8,0,0,78,0,0.99,0.99,0,No
1117955,2,8,0,0,78,0,0.85,0.87,0,No
1117956,1,8,0,0,78,0,0.96,0.94,0,Yes
1117957,5,8,0,1,78,0,1,0.94,0,No
1117978,0,12,0,0,78,0,0.82,0.79,0,No
1117979,35,2,0,0,78,0,1,1,0,Yes
1117980,4,4,0,0,78,0,0.69,0.68,0,No
1118119,8,12,0,1,78,1,0.63,0.63,0,No
1118120,0,12,0,150,78,0,0.77,0.78,20,Yes
1118121,20,2,0,1,78,0,0.99,0.98,0,No
1118247,7,4,0,0,78,0,0.77,0.8,0,No
1118248,0,12,0,3,78,0,0.69,0.68,0,Yes
1118249,10,4,0,0,78,0,0.77,0.8,0,No
1118344,9,8,0,0,78,0,0.76,0.85,0,No
1118345,0,2,0,4,78,0,0.67,0.61,0,Yes
1118346,2,8,0,1,78,0,0.99,0.99,0,No
1118384,245,10,0,11,78,0,0.85,0.88,0,No
1118385,5,8,0,0,78,0,0.98,0.98,0,Yes
1118386,5,8,0,1,78,0,0.95,0.91,0,No
1118402,359,0,30,267,78,0,0,0,0,No
1118403,8,2,0,0,78,0,0.56,0.56,0,Yes
1118404,0,2,5,0,78,0,0.49,0.45,0,No
1118405,1,8,0,1,78,0,0.99,0.99,0,No
1118406,2,8,0,0,78,0,0.82,0.89,0,Yes
1118407,3,9,0,0,78,0,0.69,0.68,0,No
1118496,53,8,0,1,78,0,0.74,0.76,0,No
1118497,87,2,0,48,78,0,0.77,0.74,0,Yes
1118498,2,8,0,1,78,0,0.97,0.97,0,No
1118562,0,4,0,0,78,0,0.77,0.8,0,No
1118563,1,8,0,0,78,0,0.76,0.85,0,Yes
1118564,4,8,0,0,78,0,0.98,0.99,0,No
1118737,1,2,0,0,78,0,0.53,0.65,0,No
1118738,1,8,0,1,78,0,0.82,0.78,0,No
1118739,1,8,0,0,78,0,0.72,0.75,0,Yes
1118740,7,2,0,3,78,0,0.37,0.42,0,Yes
1118741,690,12,0,273,78,0,1,0.99,0,No
1118846,43,8,1,112,78,8,0.79,0.76,0,No
1118847,14,8,0,21,78,0,0,0,0,Yes
1118848,29,8,0,0,78,0,0.93,0.93,0,No
1118983,1,9,0,0,78,0,0.86,0.69,0,No
1118984,0,12,0,0,78,0,0.82,0.79,0,Yes
1118985,3076,8,0,81,78,0,0.68,0.58,0,No
1119084,446,8,109,144,78,0,0.96,0.97,0,No
1119085,-372,5,5,250,78,100,0.69,0.68,412,Yes
1119086,73,0,0,2,78,0,0,0,0,No
1119408,19,8,0,1,78,0,0.91,0.96,0,No
1119409,1,8,0,0,78,0,0.79,0.66,0,Yes
1119410,918,2,0,1,78,0,0.82,0.68,0,No
1119651,1,2,0,0,78,0,0.98,0.9,0,No
1119652,0,2,0,0,78,0,0.1,0.13,0,Yes
1119653,6,2,0,0,78,0,0.63,0.64,0,No
1119761,310,2,0,2,78,0,-99,-99,0,No
1119762,15,4,7,5,78,0,0.79,0.66,0,Yes
1119763,20,2,0,0,78,0,0.82,0.83,0,No
1119990,14,4,0,0,78,0,0.77,0.8,0,No
1119991,0,2,0,0,78,0,-99,-99,0,Yes
1119992,2,4,0,0,78,0,0.77,0.8,0,No
1120032,18,2,0,0,78,0,0.99,0.99,0,No
1120033,4,3,0,0,78,0,0.89,0.9,0,Yes
1120034,3,8,0,1,78,0,1,0.99,0,No
1120139,136,8,0,34,78,0,0.98,0.99,0,No
1120140,3,8,0,1,78,0,0.94,0.96,0,Yes
1120141,1,8,0,0,78,0,0.78,0.82,0,No
1120185,7,9,9,0,78,0,0.91,0.74,0,No
1120186,0,2,3,0,78,0,0.96,0.94,0,Yes
1120187,8,9,0,0,78,0,0.86,0.69,0,No
1120246,2,4,0,0,78,0,0.77,0.8,0,No
1120247,0,4,0,0,78,0,0.69,0.68,0,Yes
1120248,4,8,0,0,78,0,0.87,0.93,0,No
1120263,16,52,0,1,78,0,0.95,0.91,0,No
1120264,4,2,0,0,78,0,0.93,0.91,0,Yes
1120265,2,2,0,0,78,0,0.99,0.94,0,No
1120302,79,16,2,34,78,0,0.61,0.62,0,No
1120303,9,8,0,8,78,0,0.98,0.97,0,Yes
1120304,189,52,0,2,78,0,0,0.15,0,No
1120319,5,8,0,0,78,0,0.84,0.48,0,No
1120320,1,2,1,0,78,0,0.82,0.87,0,Yes
1120321,0,2,0,18,78,0,0.69,0.68,0,No
1120406,10,8,0,0,78,0,1,0.94,0,No
1120407,1,12,0,1,78,0,0.81,0.83,0,Yes
1120408,19,8,0,0,78,0,0.96,0.83,0,No
1120626,15,2,0,4,78,0,0.92,0.95,0,No
1120627,0,8,0,0,78,0,0.92,0.96,0,Yes
1120628,0,8,0,0,78,0,0.95,0.87,0,No
1120677,30,6,0,0,78,0,0.79,0.66,0,No
1120678,48,8,66,611,78,81,-99,-99,84,Yes
1120679,1169,2,1,28,78,0,0.6,0.68,0,No
1120688,9,2,0,1,78,0,0.99,0.99,0,No
1120689,0,12,0,0,78,0,0.82,0.79,0,Yes
1120690,106,9,3,27,78,0,1,0.99,0,No
1120716,913,9,100,650,78,0,0.96,0.93,0,No
1120717,0,8,0,0,78,0,0.99,0.93,0,Yes
1120718,10,3,0,5,78,0,0.99,0.99,0,No
1120783,58,4,24,25,78,0,0.34,0.41,0,No
1120784,2,8,0,0,78,0,1,0.97,0,Yes
1120785,83,2,1,24,78,0,1,0.99,0,No
1120823,45,8,0,0,78,0,0.99,0.97,0,No
1120824,2,3,0,0,78,0,0.89,0.9,0,Yes
1120825,76,2,21,24,78,0,1,0.96,0,No
1120863,702,8,0,2,78,0,0.76,0.87,0,No
1120864,267,8,14,294,78,0,0.79,0.66,0,No
1120865,34,9,0,1,78,0,1,0.95,0,Yes
1120866,4,12,0,15,78,0,0.59,0.59,0,Yes
1120867,83,8,3,32,78,0,0.78,0.73,0,No
1120868,7,8,0,0,78,0,1,0.98,0,Yes
1120869,0,4,0,1,78,0,0.22,0.11,0,No
1120931,91,8,6,23,78,0,0.57,0.8,0,No
1120953,56,2,0,0,78,0,0.96,0.97,0,No
1120954,0,9,0,675,78,0,0.49,0.72,0,Yes
1120955,530,2,9,44,78,0,0.98,0.95,0,No
1120991,58,12,1,2,78,0,0.82,0.79,0,No
1120992,0,4,0,1,78,0,0.69,0.68,0,Yes
1120993,110,3,62,65,78,0,0.95,0.97,0,No
1121150,52,8,1,44,78,0,1,0.97,0,No
1121151,1,8,1,15,78,0,0.96,0.98,0,Yes
1121152,4,8,0,1,78,0,0.99,0.96,0,No
1121156,0,12,0,0,78,0,0.99,0.99,0,No
1121157,100,8,0,0,78,0,0.64,0.8,0,Yes
1121158,37,2,10,29,78,0,0.98,0.96,0,No
1121159,47,12,0,0,78,0,0.73,0.69,0,No
1121256,0,8,0,0,78,0,0.99,0.98,0,No
1121257,2,8,0,1,78,0,0.99,0.98,0,Yes
1121258,99,2,0,0,78,0,0.99,0.99,0,No
1121393,33,8,0,0,78,0,1,0.96,0,No
1121394,-1,2,0,10,78,0,0.99,0.9,1,Yes
1121395,2,9,0,0,78,0,0.69,0.68,0,No
1121462,129,2,0,44,78,0,0.94,0.96,0,No
1121463,0,2,0,0,78,0,0.98,0.95,0,Yes
1121464,10,9,0,0,78,0,0.98,0.98,0,No
1121553,6,4,0,4,78,0,0.22,0.11,0,No
1121554,1,8,0,0,78,1,0,0,0,Yes
1121555,12,3,0,1,78,0,1,0.99,0,No
1121605,316,2,0,2,78,0,1,1,0,No
1121606,8,2,0,1,78,0,0.59,0.59,0,Yes
1121607,26,2,0,2,78,0,0.87,0.87,0,No
1121661,8,2,0,0,78,0,0.8,0.66,0,No
1121662,7,2,0,1,78,0,0.79,0.85,0,Yes
1121663,0,2,0,0,78,0,0.6,0.43,0,No
1121687,13,4,0,0,78,0,0.22,0.11,0,No
1121688,1,2,0,0,78,8,0.87,0.68,0,Yes
